generation, Top Error, Gen Error, Dropped %
1, 1.96276448647181, 1.96276448647181, 0.984
2, 1.95865939060847, 1.95865939060847, 0.912
3, 1.95670098336538, 1.95670098336538, 0.888
4, 1.95670098336538, 1.95704980182648, 0.888
5, 1.95589005009333, 1.95589005009333, 0.888
6, 1.95588927523295, 1.95588927523295, 0.888
7, 1.95538290961583, 1.95538290961583, 0.848
8, 1.95538094266256, 1.95538094266256, 0.848
9, 1.95302530670166, 1.95302530670166, 0.824
10, 1.95302530670166, 1.95484249766668, 0.824
11, 1.95302530670166, 1.95484124596914, 0.824
12, 1.95302530670166, 1.95484029229482, 0.824
13, 1.95302530670166, 1.95483910020192, 0.824
14, 1.95302530670166, 1.95484208043416, 0.824
15, 1.95302530670166, 1.9548405307134, 0.824
16, 1.95302530670166, 1.95484023269018, 0.824
17, 1.95302530670166, 1.95484231885274, 0.824
18, 1.95302530670166, 1.95484124596914, 0.824
19, 1.95054584693909, 1.95054584693909, 0.168
20, 1.94844177881877, 1.94844177881877, 0.168
21, 1.94690090290705, 1.94690090290705, 0.176
22, 1.94685587644577, 1.94685587644577, 0.168
23, 1.94685587644577, 1.94761686102549, 0.168
24, 1.94685587644577, 1.94687727451324, 0.168
25, 1.94685587644577, 1.94686904907227, 0.168
26, 1.94684053468704, 1.94684053468704, 0.168
27, 1.94264766772588, 1.94264766772588, 0.16
28, 1.94251731236776, 1.94251731236776, 0.16
29, 1.94251731236776, 1.94252374966939, 0.16
30, 1.94251731236776, 1.94260212977727, 0.16
31, 1.94251731236776, 1.94254633982976, 0.16
32, 1.94227518622081, 1.94227518622081, 0.16
33, 1.94227518622081, 1.94258168538411, 0.16
34, 1.93921495644252, 1.93921495644252, 0.112
35, 1.9391084912618, 1.9391084912618, 0.112
36, 1.93682096091906, 1.93682096091906, 0.136
37, 1.92993287658691, 1.92993287658691, 0.136
38, 1.9290217833519, 1.9290217833519, 0.136
39, 1.9290217833519, 1.9401146958669, 0.136
40, 1.92408984295527, 1.92408984295527, 0.136
41, 1.92408984295527, 1.93330336777369, 0.136
42, 1.92408984295527, 1.93388329680761, 0.136
43, 1.92408984295527, 1.92635460678736, 0.136
44, 1.92408984295527, 1.93333269325892, 0.136
45, 1.92408984295527, 1.92997652244568, 0.136
46, 1.92408984295527, 1.93318545770645, 0.136
47, 1.92408984295527, 1.92856454571088, 0.136
48, 1.92408984295527, 1.93206869220734, 0.136
49, 1.92408984295527, 1.92699598987897, 0.136
50, 1.92151310443878, 1.92151310443878, 0.136
51, 1.89437510736783, 1.89437510736783, 0.152
52, 1.89196390215556, 1.89196390215556, 0.152
53, 1.89031018257141, 1.89031018257141, 0.152
54, 1.86870798858007, 1.86870798858007, 0.184
55, 1.86870798858007, 1.87479418500264, 0.184
56, 1.86870798858007, 1.87518923894564, 0.184
57, 1.86494664231936, 1.86494664231936, 0.192
58, 1.86494664231936, 1.86814024225871, 0.192
59, 1.86494664231936, 1.86793165580432, 0.192
60, 1.8633871995608, 1.8633871995608, 0.192
61, 1.8633871995608, 1.86605009746552, 0.192
62, 1.84748346328735, 1.84748346328735, 0.184
63, 1.83871751372019, 1.83871751372019, 0.184
64, 1.83871751372019, 1.84640790875753, 0.184
65, 1.83637874428431, 1.83637874428431, 0.296
66, 1.82032548904419, 1.82032548904419, 0.288
67, 1.80605463171005, 1.80605463171005, 0.288
68, 1.80605463171005, 1.82052877632777, 0.288
69, 1.80102728923162, 1.80102728923162, 0.288
70, 1.80102728923162, 1.8122016248703, 0.288
71, 1.80102728923162, 1.8170619913737, 0.288
72, 1.80102728923162, 1.82044515101115, 0.288
73, 1.80102728923162, 1.81304114500682, 0.288
74, 1.79943939733505, 1.79943939733505, 0.288
75, 1.79943939733505, 1.80657538779577, 0.288
76, 1.79943939733505, 1.81849513753255, 0.288
77, 1.79943939733505, 1.81607616599401, 0.288
78, 1.79943939733505, 1.8080539744695, 0.288
79, 1.79943939733505, 1.82341239023209, 0.288
80, 1.79943939733505, 1.81531949710846, 0.288
81, 1.79943939733505, 1.80668037335078, 0.288
82, 1.79943939733505, 1.82016695276896, 0.288
83, 1.79943939733505, 1.80904674943288, 0.288
84, 1.78099348115921, 1.78099348115921, 0.312
85, 1.78030688317617, 1.78030688317617, 0.312
86, 1.78030688317617, 1.78268246253332, 0.312
87, 1.78030688317617, 1.78109731245041, 0.312
88, 1.78030688317617, 1.78694230016073, 0.312
89, 1.78030688317617, 1.78258375724157, 0.312
90, 1.78030688317617, 1.78302371120453, 0.312
91, 1.77759841108322, 1.77759841108322, 0.312
92, 1.77454635445277, 1.77454635445277, 0.312
93, 1.77454635445277, 1.78021562846502, 0.312
94, 1.77454635445277, 1.78045172246297, 0.312
95, 1.77454635445277, 1.78462113984426, 0.312
96, 1.77454635445277, 1.77761760377884, 0.312
97, 1.76671761544545, 1.76671761544545, 0.368
98, 1.76220229458809, 1.76220229458809, 0.368
99, 1.76220229458809, 1.76364370807012, 0.368
100, 1.76220229458809, 1.76433035357793, 0.368
101, 1.76220229458809, 1.76472878082593, 0.368
102, 1.7596449508667, 1.7596449508667, 0.384
103, 1.75961932086945, 1.75961932086945, 0.384
104, 1.75560724687576, 1.75560724687576, 0.384
105, 1.75310232543945, 1.75310232543945, 0.384
106, 1.75310232543945, 1.76106270130475, 0.384
107, 1.75310232543945, 1.75550179417928, 0.384
108, 1.74313643773397, 1.74313643773397, 0.384
109, 1.74186255518595, 1.74186255518595, 0.384
110, 1.74186255518595, 1.74260743443171, 0.384
111, 1.73043995332718, 1.73043995332718, 0.368
112, 1.73043995332718, 1.73083292675018, 0.368
113, 1.73043995332718, 1.74019917964935, 0.368
114, 1.73043995332718, 1.73953229872386, 0.368
115, 1.7299955886205, 1.7299955886205, 0.368
116, 1.7299955886205, 1.74388421344757, 0.368
117, 1.72248313601812, 1.72248313601812, 0.36
118, 1.72248313601812, 1.72963749599457, 0.36
119, 1.71715810378393, 1.71715810378393, 0.36
120, 1.71715810378393, 1.7203835978508, 0.36
121, 1.71673706785838, 1.71673706785838, 0.36
122, 1.71673706785838, 1.72524284394582, 0.36
123, 1.71673706785838, 1.71756581083934, 0.36
124, 1.71673706785838, 1.7269112496376, 0.36
125, 1.71673706785838, 1.726377430439, 0.36
126, 1.71673706785838, 1.72485356601079, 0.36
127, 1.71673706785838, 1.72522335322698, 0.36
128, 1.71629390732447, 1.71629390732447, 0.36
129, 1.71629390732447, 1.71763274685542, 0.36
130, 1.71629390732447, 1.72431472794215, 0.36
131, 1.71629390732447, 1.72673988628387, 0.36
132, 1.71629390732447, 1.73670553557078, 0.36
133, 1.71629390732447, 1.73364766184489, 0.36
134, 1.71629390732447, 1.7236090443929, 0.36
135, 1.71629390732447, 1.72267676814397, 0.36
136, 1.71629390732447, 1.71713391558329, 0.36
137, 1.71629390732447, 1.72657639074326, 0.36
138, 1.71629390732447, 1.71755281702677, 0.36
139, 1.71629390732447, 1.72726929473877, 0.36
140, 1.71629390732447, 1.71765325085322, 0.36
141, 1.71629390732447, 1.72646826791763, 0.36
142, 1.71629390732447, 1.71647176758448, 0.36
143, 1.71629390732447, 1.73191874535879, 0.36
144, 1.71629390732447, 1.73120264307658, 0.36
145, 1.71629390732447, 1.73126212851206, 0.36
146, 1.71629390732447, 1.73118953005473, 0.36
147, 1.71629390732447, 1.72708052118619, 0.36
148, 1.71629390732447, 1.71724638954798, 0.36
149, 1.71629390732447, 1.71664915100733, 0.36
150, 1.71265128866831, 1.71265128866831, 0.36
151, 1.71188471333186, 1.71188471333186, 0.36
152, 1.70111939922969, 1.70111939922969, 0.368
153, 1.70111939922969, 1.70408383623759, 0.376
154, 1.70042065397898, 1.70042065397898, 0.384
155, 1.6986704231898, 1.6986704231898, 0.384
156, 1.6986704231898, 1.69919852034251, 0.384
157, 1.6986704231898, 1.70001039520899, 0.384
158, 1.6986704231898, 1.70158205048243, 0.384
159, 1.69754985586802, 1.69754985586802, 0.384
160, 1.69754985586802, 1.70009419933955, 0.384
161, 1.69754985586802, 1.69975475088755, 0.384
162, 1.69754985586802, 1.69910953060786, 0.384
163, 1.69754985586802, 1.69803718344371, 0.384
164, 1.69754985586802, 1.69773838535945, 0.384
165, 1.69323388353984, 1.69323388353984, 0.384
166, 1.69323388353984, 1.69507471338908, 0.384
167, 1.69323388353984, 1.69515756384532, 0.384
168, 1.69323388353984, 1.69655863062541, 0.384
169, 1.68902651087443, 1.68902651087443, 0.384
170, 1.68902651087443, 1.68932954088847, 0.384
171, 1.68902651087443, 1.69034580008189, 0.384
172, 1.68902651087443, 1.69004622713725, 0.384
173, 1.68902651087443, 1.69077465550105, 0.384
174, 1.68902651087443, 1.69592092053096, 0.392
175, 1.68902651087443, 1.6942005516688, 0.392
176, 1.68902651087443, 1.69295851008097, 0.392
177, 1.68902651087443, 1.69323310867945, 0.392
178, 1.68902651087443, 1.69154498593013, 0.392
179, 1.68902651087443, 1.69006375090281, 0.392
180, 1.68902651087443, 1.69400814787547, 0.392
181, 1.68902651087443, 1.69703272596995, 0.392
182, 1.68902651087443, 1.70677117125193, 0.392
183, 1.68902651087443, 1.69621697680155, 0.392
184, 1.68902651087443, 1.6964931251208, 0.392
185, 1.68902651087443, 1.70875940338771, 0.392
186, 1.68902651087443, 1.69698396937052, 0.392
187, 1.68902651087443, 1.69511119143168, 0.392
188, 1.68902651087443, 1.72504073103269, 0.392
189, 1.68902651087443, 1.69466618315379, 0.392
190, 1.68902651087443, 1.69461116806666, 0.392
191, 1.68902651087443, 1.72172092954318, 0.392
192, 1.68902651087443, 1.69258466974894, 0.392
193, 1.68902651087443, 1.69293878094355, 0.392
194, 1.68902651087443, 1.70397717372576, 0.392
195, 1.68902651087443, 1.69461516157786, 0.392
196, 1.68902651087443, 1.69365224854151, 0.392
197, 1.68902651087443, 1.6952798725764, 0.392
198, 1.68902651087443, 1.69560984388987, 0.392
199, 1.68902651087443, 1.69353613869349, 0.392
200, 1.68902651087443, 1.69258383528392, 0.392
201, 1.68902651087443, 1.69342956558863, 0.392
202, 1.68902651087443, 1.69436565653483, 0.392
203, 1.68902651087443, 1.692974782149, 0.392
204, 1.68902651087443, 1.69356206671397, 0.392
205, 1.68902651087443, 1.69369760767619, 0.392
206, 1.68902651087443, 1.69254735724131, 0.392
207, 1.68902651087443, 1.69203359500567, 0.392
